id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
114,DUBLIN,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,1,188,1
115,ROMEO,MACHO,2001-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,175,4,310,1
116,JAIMITO,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,4,326,2
117,CINDY,HEMBRA,1996-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,176,1,500,1
118,PANCHA,INDEFINIDO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,1,500,1
119,PIOLA,MACHO,2009-09-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,176,30,59,1
120,TANGA,MACHO,2006-10-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,176,1,326,1
121,LUCHO,MACHO,2004-07-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,178,10,331,1
122,SIMBA,MACHO,2003-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,179,1,344,2
123,KONGA,HEMBRA CASTRADA,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,34,218,1
124,ALEX,MACHO,1997-10-17T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,18,74,1
125,MAITE,HEMBRA,1997-02-17T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,181,34,163,1
126,PRINCESA,HEMBRA,1995-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,182,1,326,1
127,BOBY,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,25,197,1
128,LUCKY,MACHO,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,1,344,2
129,RAMBA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,1,500,2
130,LUCKY,MACHO,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,46,500,2
131,SASHA,HEMBRA,2005-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,3,330,1
132,SPENCER,MACHO,1995-03-21T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,1,344,2
133,OSITO,HEMBRA CASTRADA,2009-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,3,326,1
134,BARKLEY,MACHO CASTRADO,2007-03-17T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,180,10,331,1
135,DROOPI,MACHO,2010-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,99,1,326,1
136,DUCKE,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,185,18,74,1
137,TAMO,MACHO,2011-01-09T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,100,1,273,1
138,CANELA,HEMBRA,1998-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,185,18,340,1
139,MANCHAS,HEMBRA,2003-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,187,1,326,1
140,TOMY,MACHO,2009-12-15T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,187,1,326,1
141,QUICKY,HEMBRA CASTRADA,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,102,1,326,1
142,TITANO,MACHO,2011-05-26T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,10,1,79,1
143,NAPOLEON,MACHO,2007-08-05T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,188,1,330,1
144,JOSEFINA,HEMBRA,2007-09-21T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,188,3,330,1
145,MAX,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,103,1,324,1
146,BALU,MACHO,2005-03-04T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,189,3,330,1
147,TANGO,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,189,1,326,1
148,BIMBA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,189,1,326,1
149,SAPUCA,MACHO,2002-09-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,104,23,326,1
150,PICACHU,MACHO,1999-03-14T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,190,1,374,1
151,BRUSH,MACHO,2003-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,105,7,74,1
152,MUSHO,MACHO CASTRADO,2003-03-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,190,1,344,2
153,YUCA,HEMBRA,2006-10-28T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,191,1,343,1
154,GIGI,HEMBRA,1994-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,192,1,326,1
