MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9342,LUPITA,femenino,2023-01-26,1000-01-01,sin observaciones,false,5806,32,2,2
9343,BETUN,masculino,2020-06-26,1000-01-01,sin observaciones,false,8120,44,109,1
9344,MANCHITA,masculino,2020-06-26,1000-01-01,sin observaciones,false,7403,10,2,2
9345,MINNIE,femenino,2018-06-26,1000-01-01,sin observaciones,false,8121,64,2,2
9346,MIEL,femenino,2019-06-26,1000-01-01,sin observaciones,false,8122,40,1,1
9347,JACOB,masculino,1000-01-01,1000-01-01,sin observaciones,false,974,2,1,1
9348,BENJI,masculino,1000-01-01,1000-01-01,sin observaciones,false,974,3,1,1
9349,KALI,femenino,1000-01-01,1000-01-01,sin observaciones,false,974,10,1,1
9350,GATO,masculino,2022-06-27,1000-01-01,sin observaciones,false,7972,15,2,2
9351,WALLE,femenino,2019-02-02,1000-01-01,sin observaciones,false,8123,19,3,2
9353,LUCY,femenino,2023-01-05,1000-01-01,sin observaciones,false,8125,28,1,1
9354,LUNA,femenino,2023-01-28,1000-01-01,sin observaciones,false,5432,3,2,2
9355,BIGOTES,masculino,2021-06-28,1000-01-01,sin observaciones,false,5739,24,2,2
9356,BLUE,masculino,2021-07-17,1000-01-01,sin observaciones,false,8111,44,109,1
9357,NALA,femenino,2023-04-10,1000-01-01,sin observaciones,false,8126,9,1,1
9358,ANTONIO,masculino,2012-01-04,1000-01-01,sin observaciones,false,3092,24,2,2
9359,PULGUITA,femenino,2022-08-28,1000-01-01,sin observaciones,false,8127,9,1,1
9360,SOL,femenino,2013-06-28,1000-01-01,sin observaciones,false,8128,9,17,1
9361,LEOPOLDO,masculino,2016-02-20,1000-01-01,sin observaciones,false,6645,9,85,1
9362,KIRA,masculino,2023-03-04,1000-01-01,sin observaciones,false,8129,24,2,2
9363,PIRI,masculino,2017-06-29,1000-01-01,sin observaciones,false,6453,50,2,2
9364,PERLA,femenino,2023-05-01,1000-01-01,sin observaciones,false,8130,9,15,1
9365,ROMA,femenino,2022-09-28,1000-01-01,sin observaciones,false,3725,40,9,1
9366,CAPITAN,masculino,2023-02-28,1000-01-01,sin observaciones,false,8131,40,1,1
