id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
168,SCOOBY,MACHO CASTRADO,2004-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,123,1,326,1
169,SOBRINA,HEMBRA,2001-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,326,1
170,YASTA,HEMBRA,2008-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,323,1,344,2
171,CHIQUITA,HEMBRA,2001-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,18,326,1
172,COCO,MACHO,2008-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,322,18,376,1
173,BENJAM?N,MACHO,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,124,10,326,1
174,ANITA,HEMBRA,2000-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,22,351,1
175,BOXER,HEMBRA,2010-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,325,1,74,1
176,RONY,MACHO,2006-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,125,1,79,1
177,CANELA,HEMBRA,2001-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,18,326,1
178,SPOT,MACHO,2006-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,125,1,500,1
179,UMA,HEMBRA,2010-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,325,18,74,1
180,PUMA,MACHO,2001-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,500,1
181,TAMBOR,MACHO,2007-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,326,1,500,6
182,CANDELARIA,HEMBRA,2007-10-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,126,4,344,2
183,TOMY,MACHO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,94,6,79,1
184,NEGRA,HEMBRA,2011-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,3,343,1
185,SACH,MACHO,2010-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,127,18,500,1
186,MOKA,HEMBRA,2011-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,2,330,1
187,PEPE,MACHO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,95,3,344,2
188,CANELA,HEMBRA,2010-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,2,326,1
