id,nombre,sexo,nacimiento,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
191,MORENA,Hembra,2010-06-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1554,3,32,1
192,Sol,Hembra,2018-10-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2875,1,34,1
193,PALOMA,Hembra,2007-06-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1557,1,31,1
194,Duke,Macho,2012-08-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2875,1,7,1
195,MORENA,Hembra,2017-11-22,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1560,34,17,1
196,Mel,Hembra,2006-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2875,1,31,1
197,DESIREE,Hembra,2006-01-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1563,2,5,1
198,PANCHITO,Macho,2007-07-15,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2879,2,31,1
199,Preciosa,Hembra,2013-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1565,1,6,1
200,CHINA,Hembra,2013-11-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2982,3,31,1
201,ZOE,Hembra,2017-09-21,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1568,10,10,1
202,CATERINA,Hembra,2014-12-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2982,2,119,2
203,PRETA,Hembra,2018-04-23,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1571,3,39,1
204,TIMABO,Macho,2013-06-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2982,7,7,1
205,MEGAN,Hembra,2007-04-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1571,34,31,1
206,DAKOTA,Hembra,2020-07-27,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2982,2,7,1
207,Arizona,Hembra,2022-07-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2982,1,7,1
208,UMMA,Hembra,2016-08-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2983,9,12,1
209,BLONDIE,Hembra,2015-08-24,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3013,15,31,1
210,INDIA,Hembra,2015-02-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1571,11,31,1
211,NICKY,Hembra,2015-06-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3016,7,31,1
212,KIARA,Hembra,2015-11-11,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3016,3,31,1
213,BJORN,Macho,2017-07-27,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1650,1,39,1
214,TYSON,Macho,2017-11-14,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3016,3,31,1
215,SIMBAD,Macho,2018-02-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1683,7,136,2
